"","child","parent","length"
"544","DOID:5161","DOID:7",6
"545","DOID:2251","DOID:7",6
"546","DOID:3024","DOID:14566",9
"547","DOID:2253","DOID:7",5
"548","DOID:2256","DOID:7",6
"549","DOID:83","DOID:7",7
"550","DOID:82","DOID:7",8
"551","DOID:84","DOID:7",6
"552","DOID:3025","DOID:14566",5
"553","DOID:784","DOID:7",5
"554","DOID:786","DOID:7",4
"555","DOID:780","DOID:7",5
"556","DOID:783","DOID:7",6
"557","DOID:782","DOID:7",4
"558","DOID:7756","DOID:14566",8
"559","DOID:7757","DOID:14566",7
"560","DOID:7206","DOID:14566",5
"561","DOID:7207","DOID:14566",10
"562","DOID:7752","DOID:14566",8
"563","DOID:7202","DOID:14566",8
"564","DOID:6405","DOID:14566",8
"565","DOID:6404","DOID:14566",6
"566","DOID:6407","DOID:14566",9
"567","DOID:6406","DOID:7",7
"568","DOID:6408","DOID:14566",9
"569","DOID:6969","DOID:7",8
"570","DOID:1754","DOID:7",6
"571","DOID:1756","DOID:7",6
"572","DOID:1757","DOID:7",7
"573","DOID:1751","DOID:14566",8
"574","DOID:1752","DOID:14566",7
"575","DOID:1759","DOID:0050117",6
"576","DOID:0060518","DOID:7",7
"577","DOID:0060519","DOID:7",6
"578","DOID:0060512","DOID:7",7
"579","DOID:0060513","DOID:7",6
"580","DOID:0060510","DOID:7",7
"581","DOID:0060511","DOID:7",7
"582","DOID:0060516","DOID:7",7
"583","DOID:0060517","DOID:7",7
"584","DOID:0060514","DOID:7",7
"585","DOID:0060515","DOID:7",7
"586","DOID:0060232","DOID:225",2
"587","DOID:4724","DOID:7",5
"588","DOID:5983","DOID:14566",7
"589","DOID:5982","DOID:14566",7
"590","DOID:14489","DOID:14566",6
"591","DOID:14483","DOID:7",7
"592","DOID:14482","DOID:7",5
"593","DOID:14484","DOID:0050117",5
"594","DOID:13141","DOID:7",7
"595","DOID:13140","DOID:7",8
"596","DOID:13143","DOID:7",7
"597","DOID:13145","DOID:7",8
"598","DOID:13147","DOID:7",5
"599","DOID:13146","DOID:0050117",6
"600","DOID:13148","DOID:7",5
"601","DOID:5189","DOID:14566",7
"602","DOID:4858","DOID:14566",6
"603","DOID:12550","DOID:7",6
"604","DOID:12554","DOID:7",7
"605","DOID:12557","DOID:7",8
"606","DOID:12556","DOID:7",6
"607","DOID:12559","DOID:7",8
"608","DOID:12558","DOID:7",7
"609","DOID:4852","DOID:14566",6
"610","DOID:4853","DOID:14566",10
"611","DOID:9574","DOID:7",6
"612","DOID:4855","DOID:14566",9
"613","DOID:4856","DOID:14566",6
"614","DOID:9577","DOID:0050117",6
"615","DOID:3716","DOID:14566",9
"616","DOID:14731","DOID:0080015",2
"617","DOID:687","DOID:14566",6
"618","DOID:14737","DOID:630",4
"619","DOID:14735","DOID:7",5
"620","DOID:3717","DOID:14566",7
"621","DOID:8398","DOID:7",7
"622","DOID:5453","DOID:7",7
"623","DOID:5325","DOID:630",5
"624","DOID:5324","DOID:14566",7
"625","DOID:5327","DOID:7",7
"626","DOID:3713","DOID:14566",10
"627","DOID:6566","DOID:14566",9
"628","DOID:6567","DOID:14566",10
"629","DOID:3711","DOID:14566",7
"630","DOID:12087","DOID:7",9
"631","DOID:12084","DOID:7",8
"632","DOID:4588","DOID:14566",7
"633","DOID:4586","DOID:14566",7
"634","DOID:4587","DOID:14566",6
"635","DOID:4584","DOID:14566",7
"636","DOID:5419","DOID:150",4
"637","DOID:5418","DOID:150",4
"638","DOID:10493","DOID:7",5
"639","DOID:1036","DOID:14566",7
"640","DOID:10499","DOID:7",8
"641","DOID:1039","DOID:14566",9
"642","DOID:0050838","DOID:7",7
"643","DOID:0050839","DOID:7",8
"644","DOID:0050836","DOID:7",7
"645","DOID:0050837","DOID:7",7
"646","DOID:0050834","DOID:225",2
"647","DOID:0050835","DOID:7",7
"648","DOID:0050340","DOID:0050117",3
"649","DOID:0050833","DOID:0014667",4
"650","DOID:0050830","DOID:7",5
"651","DOID:0050831","DOID:7",5
"652","DOID:2409","DOID:0050117",4
"653","DOID:2401","DOID:14566",7
"654","DOID:9206","DOID:7",4
"655","DOID:4329","DOID:7",6
"656","DOID:4322","DOID:14566",6
"657","DOID:4323","DOID:14566",6
"658","DOID:4320","DOID:14566",8
"659","DOID:4321","DOID:14566",6
"660","DOID:4327","DOID:0050117",3
"661","DOID:4324","DOID:14566",6
"662","DOID:4325","DOID:0050117",3
"663","DOID:3868","DOID:14566",9
"664","DOID:3869","DOID:14566",9
"665","DOID:3864","DOID:14566",9
"666","DOID:3865","DOID:14566",7
"667","DOID:3860","DOID:14566",10
"668","DOID:3861","DOID:14566",9
"669","DOID:9714","DOID:7",4
"670","DOID:14139","DOID:14566",8
"671","DOID:3318","DOID:14566",5
"672","DOID:3319","DOID:7",5
"673","DOID:3312","DOID:150",4
"674","DOID:14130","DOID:7",5
"675","DOID:3310","DOID:7",5
"676","DOID:11452","DOID:7",6
"677","DOID:3316","DOID:14566",6
"678","DOID:3317","DOID:14566",7
"679","DOID:11457","DOID:7",5
"680","DOID:3315","DOID:14566",4
"681","DOID:14256","DOID:7",7
"682","DOID:14250","DOID:630",3
"683","DOID:14251","DOID:7",7
"684","DOID:14252","DOID:7",7
"685","DOID:14253","DOID:7",7
"686","DOID:6364","DOID:7",5
"687","DOID:6367","DOID:14566",7
